Batch Size,Epochs,Dropout,LR,LSTM1,LSTM2,Dense,Optimizer,Precision,Recall,F1-Score,Test Accuracy
64,50,0.4,0.0005,256,128,64,rmsprop,0.5317967282791342,0.5331125827814569,0.5322451078191398,0.5331125855445862
64,70,0.3,0.0001,128,64,32,adam,0.5364694906316142,0.5405629139072847,0.535836224676983,0.5405629277229309
64,70,0.3,0.0001,128,64,32,rmsprop,0.529147303747699,0.5347682119205298,0.5270023595840453,0.5347682237625122
64,70,0.3,0.0001,128,64,64,adam,0.5346053949635325,0.5372516556291391,0.5349734939149289,0.5372516512870789
64,70,0.3,0.0001,128,64,64,rmsprop,0.53951973467154,0.5455298013245033,0.5340917261223055,0.5455297827720642
64,70,0.3,0.0001,128,128,32,adam,0.5538333497841201,0.5554635761589404,0.5542348583963149,0.5554635524749756
64,70,0.3,0.0001,128,128,32,rmsprop,0.548290120433621,0.5521523178807947,0.5472116556402699,0.5521523356437683
64,70,0.3,0.0001,128,128,64,adam,0.5221461545806586,0.5057947019867549,0.4941855563625732,0.5057947039604187
64,70,0.3,0.0001,128,128,64,rmsprop,0.532717981719039,0.5380794701986755,0.530580417733139,0.5380794405937195
64,70,0.3,0.0001,256,64,32,adam,0.5436170479630745,0.5463576158940397,0.5438146190351462,0.5463576316833496
64,70,0.3,0.0001,256,64,32,rmsprop,0.532717981719039,0.5380794701986755,0.530580417733139,0.5380794405937195
64,70,0.3,0.0001,256,64,64,adam,0.5242797699282491,0.5298013245033113,0.5227962363004114,0.5298013091087341
64,70,0.3,0.0001,256,64,64,rmsprop,0.5308128577109955,0.5364238410596026,0.5284704343853112,0.5364238619804382
64,70,0.3,0.0001,256,128,32,adam,0.5489120789210198,0.5513245033112583,0.5491749282969186,0.5513244867324829
64,70,0.3,0.0001,256,128,32,rmsprop,0.5450083381796378,0.5488410596026491,0.5441995359440644,0.5488410592079163
64,70,0.3,0.0001,256,128,64,adam,0.5476456567403813,0.5488410596026491,0.5480450304744564,0.5488410592079163
64,70,0.3,0.0001,256,128,64,rmsprop,0.5461845456275115,0.5504966887417219,0.5444690740447234,0.5504966974258423
64,70,0.3,0.0003,128,64,32,adam,0.5324570454709273,0.5405629139072847,0.5201178415385125,0.5405629277229309
64,70,0.3,0.0003,128,64,32,rmsprop,0.5360026959561498,0.5389072847682119,0.536257564317445,0.5389072895050049
64,70,0.3,0.0003,128,64,64,adam,0.5290159619629818,0.5331125827814569,0.5287276830669715,0.5331125855445862
64,70,0.3,0.0003,128,64,64,rmsprop,0.5313760904723117,0.5331125827814569,0.5318717409568151,0.5331125855445862
64,70,0.3,0.0003,128,128,32,adam,0.5000703968295354,0.4917218543046358,0.48918144065833064,0.49172186851501465
64,70,0.3,0.0003,128,128,32,rmsprop,0.5359102789765037,0.5389072847682119,0.5361256319243758,0.5389072895050049
64,70,0.3,0.0003,128,128,64,adam,0.5211158644519571,0.5049668874172185,0.4934703672068607,0.5049669146537781
64,70,0.3,0.0003,128,128,64,rmsprop,0.5480474036815463,0.5488410596026491,0.5483598956520093,0.5488410592079163
64,70,0.3,0.0003,256,64,32,adam,0.5284052087996274,0.5306291390728477,0.5289083135463979,0.5306291580200195
64,70,0.3,0.0003,256,64,32,rmsprop,0.5268024453465211,0.5331125827814569,0.5237400429341951,0.5331125855445862
64,70,0.3,0.0003,256,64,64,adam,0.5417280217022412,0.5413907284768212,0.5415460672362284,0.5413907170295715
64,70,0.3,0.0003,256,64,64,rmsprop,0.5269347589700379,0.5347682119205298,0.5198183637079483,0.5347682237625122
64,70,0.3,0.0003,256,128,32,adam,0.5359284572012233,0.527317880794702,0.5257118401301789,0.5273178815841675
64,70,0.3,0.0003,256,128,32,rmsprop,0.5372641442110071,0.5397350993377483,0.5376496773464748,0.5397350788116455
64,70,0.3,0.0003,256,128,64,adam,0.5146012849082433,0.5248344370860927,0.5056486961836464,0.5248344540596008
64,70,0.3,0.0003,256,128,64,rmsprop,0.5434459535301381,0.5463576158940397,0.5435550164263622,0.5463576316833496
64,70,0.3,0.0005,128,64,32,adam,0.5601107633913684,0.5620860927152318,0.5277676344149707,0.5620861053466797
64,70,0.3,0.0005,128,64,32,rmsprop,0.5402868158260996,0.5405629139072847,0.5404156396511707,0.5405629277229309
64,70,0.3,0.0005,128,64,64,adam,0.5228761973486656,0.5223509933774835,0.5225847188200323,0.5223509669303894
64,70,0.3,0.0005,128,64,64,rmsprop,0.5426575275802183,0.5438741721854304,0.5430693794338082,0.5438741445541382
64,70,0.3,0.0005,128,128,32,adam,0.5327876471225742,0.5339403973509934,0.5332033357505299,0.5339403748512268
64,70,0.3,0.0005,128,128,32,rmsprop,0.537685203419472,0.5405629139072847,0.5379227077130735,0.5405629277229309
64,70,0.3,0.0005,128,128,64,adam,0.5250054746174637,0.5289735099337748,0.5249543021881907,0.5289735198020935
64,70,0.3,0.0005,128,128,64,rmsprop,0.5261966694600387,0.5314569536423841,0.5248794314617958,0.5314569473266602
64,70,0.3,0.0005,256,64,32,adam,0.5342240695534183,0.5256622516556292,0.5240505856297591,0.5256622433662415
64,70,0.3,0.0005,256,64,32,rmsprop,0.52388003100236,0.5231788079470199,0.5234779923414918,0.5231788158416748
64,70,0.3,0.0005,256,64,64,adam,0.530568230660828,0.515728476821192,0.5076934371425564,0.5157284736633301
64,70,0.3,0.0005,256,64,64,rmsprop,0.5299204308038798,0.5314569536423841,0.530404374175007,0.5314569473266602
64,70,0.3,0.0005,256,128,32,adam,0.5214754469483663,0.49420529801324503,0.45869696775635843,0.4942052960395813
64,70,0.3,0.0005,256,128,32,rmsprop,0.5303863296261462,0.5322847682119205,0.5308904982351886,0.5322847962379456
64,70,0.3,0.0005,256,128,64,adam,0.5389117537576315,0.5463576158940397,0.5080752087854739,0.5463576316833496
64,70,0.3,0.0005,256,128,64,rmsprop,0.522344687796012,0.5215231788079471,0.5218641514853629,0.5215231776237488
64,70,0.35,0.0001,128,64,32,adam,0.5424760820771726,0.5455298013245033,0.5425200649094338,0.5455297827720642
64,70,0.35,0.0001,128,64,32,rmsprop,0.5430318634491373,0.5463576158940397,0.5428595438252871,0.5463576316833496
64,70,0.35,0.0001,128,64,64,adam,0.534432677369409,0.5347682119205298,0.5345873061958218,0.5347682237625122
64,70,0.35,0.0001,128,64,64,rmsprop,0.5387403986550159,0.5389072847682119,0.5388205309528619,0.5389072895050049
64,70,0.35,0.0001,128,128,32,adam,0.539611595898519,0.5413907284768212,0.5400736849991504,0.5413907170295715
64,70,0.35,0.0001,128,128,32,rmsprop,0.549083178121776,0.5513245033112583,0.5494056658652791,0.5513244867324829
64,70,0.35,0.0001,128,128,64,adam,0.535222273323244,0.5405629139072847,0.5327875150437664,0.5405629277229309
64,70,0.35,0.0001,128,128,64,rmsprop,0.5516437102765603,0.554635761589404,0.5514824834550571,0.554635763168335
64,70,0.35,0.0001,256,64,32,adam,0.5294002069657768,0.5347682119205298,0.5276327751471745,0.5347682237625122
64,70,0.35,0.0001,256,64,32,rmsprop,0.5337839474847921,0.5389072847682119,0.5319369521113011,0.5389072895050049
64,70,0.35,0.0001,256,64,64,adam,0.5422262533917761,0.5455298013245033,0.5420980264843882,0.5455297827720642
64,70,0.35,0.0001,256,64,64,rmsprop,0.5341078742870268,0.5364238410596026,0.5345564699704902,0.5364238619804382
64,70,0.35,0.0001,256,128,32,adam,0.5337180700094607,0.5364238410596026,0.534079659058048,0.5364238619804382
64,70,0.35,0.0001,256,128,32,rmsprop,0.5389127750638094,0.543046357615894,0.5380912659164293,0.5430463552474976
64,70,0.35,0.0001,256,128,64,adam,0.5531465381305893,0.5554635761589404,0.553391945911529,0.5554635524749756
64,70,0.35,0.0001,256,128,64,rmsprop,0.5556220324901057,0.5579470198675497,0.5558291728977021,0.557947039604187
64,70,0.35,0.0003,128,64,32,adam,0.5464996294732481,0.5455298013245033,0.5459070099986897,0.5455297827720642
64,70,0.35,0.0003,128,64,32,rmsprop,0.5458221075947173,0.5504966887417219,0.5433010900767279,0.5504966974258423
64,70,0.35,0.0003,128,64,64,adam,0.5310185595398381,0.5322847682119205,0.5314595270056292,0.5322847962379456
64,70,0.35,0.0003,128,64,64,rmsprop,0.5304157848023486,0.5364238410596026,0.5273505853210084,0.5364238619804382
64,70,0.35,0.0003,128,128,32,adam,0.5311844990334662,0.5289735099337748,0.5295836901791404,0.5289735198020935
64,70,0.35,0.0003,128,128,32,rmsprop,0.5268379351928851,0.5322847682119205,0.5252143230572444,0.5322847962379456
64,70,0.35,0.0003,128,128,64,adam,0.5138609734636225,0.5248344370860927,0.5031367144767847,0.5248344540596008
64,70,0.35,0.0003,128,128,64,rmsprop,0.5462480622702797,0.5463576158940397,0.5463013468375174,0.5463576316833496
64,70,0.35,0.0003,256,64,32,adam,0.5396454990341614,0.543046357615894,0.5395227521743768,0.5430463552474976
64,70,0.35,0.0003,256,64,32,rmsprop,0.5294571750244205,0.5339403973509934,0.528798820934329,0.5339403748512268
64,70,0.35,0.0003,256,64,64,adam,0.5447283922145516,0.5438741721854304,0.5442176935818182,0.5438741445541382
64,70,0.35,0.0003,256,64,64,rmsprop,0.5439295860676733,0.5438741721854304,0.543901507780731,0.5438741445541382
64,70,0.35,0.0003,256,128,32,adam,0.5322613781769079,0.5339403973509934,0.5327506594055513,0.5339403748512268
64,70,0.35,0.0003,256,128,32,rmsprop,0.5324472537673822,0.5355960264900662,0.5326588082085908,0.5355960130691528
64,70,0.35,0.0003,256,128,64,adam,0.5251014321199086,0.5306291390728477,0.5235336657937302,0.5306291580200195
64,70,0.35,0.0003,256,128,64,rmsprop,0.5315853409533866,0.5331125827814569,0.5320637226761554,0.5331125855445862
64,70,0.35,0.0005,128,64,32,adam,0.527926613419557,0.5331125827814569,0.5265583027287153,0.5331125855445862
64,70,0.35,0.0005,128,64,32,rmsprop,0.5348957607042863,0.5372516556291391,0.5353304591315169,0.5372516512870789
64,70,0.35,0.0005,128,64,64,adam,0.5284200147126404,0.5223509933774835,0.5221333170313631,0.5223509669303894
64,70,0.35,0.0005,128,64,64,rmsprop,0.5352278343382425,0.5364238410596026,0.5356486322341787,0.5364238619804382
64,70,0.35,0.0005,128,128,32,adam,0.5399698744069604,0.5380794701986755,0.538647937798642,0.5380794405937195
64,70,0.35,0.0005,128,128,32,rmsprop,0.5287479729578882,0.5339403973509934,0.5272986264500661,0.5339403748512268
64,70,0.35,0.0005,128,128,64,adam,0.5445872269898495,0.5471854304635762,0.544834504213825,0.5471854209899902
64,70,0.35,0.0005,128,128,64,rmsprop,0.5498892746505026,0.5496688741721855,0.5497730681018966,0.5496688485145569
64,70,0.35,0.0005,256,64,32,adam,0.5206452698377505,0.5190397350993378,0.5195839591836083,0.5190397500991821
64,70,0.35,0.0005,256,64,32,rmsprop,0.5271066211330343,0.5322847682119205,0.5258176107079534,0.5322847962379456
64,70,0.35,0.0005,256,64,64,adam,0.5271703556284449,0.5206953642384106,0.520264051001949,0.5206953883171082
64,70,0.35,0.0005,256,64,64,rmsprop,0.5258343499477169,0.5314569536423841,0.5240620191986086,0.5314569473266602
64,70,0.35,0.0005,256,128,32,adam,0.5052116712953072,0.48013245033112584,0.4324942115221829,0.48013246059417725
64,70,0.35,0.0005,256,128,32,rmsprop,0.5310185595398381,0.5322847682119205,0.5314595270056292,0.5322847962379456
64,70,0.35,0.0005,256,128,64,adam,0.5191564069514201,0.49337748344370863,0.4599698776504567,0.4933774769306183
64,70,0.35,0.0005,256,128,64,rmsprop,0.5303863296261462,0.5322847682119205,0.5308904982351886,0.5322847962379456
64,70,0.4,0.0001,128,64,32,adam,0.5359773543105594,0.5380794701986755,0.5364403643045036,0.5380794405937195
64,70,0.4,0.0001,128,64,32,rmsprop,0.5383062771766672,0.543046357615894,0.5366315303302319,0.5430463552474976
64,70,0.4,0.0001,128,64,64,adam,0.5155302948035692,0.5091059602649006,0.5085861446250235,0.5091059803962708
64,70,0.4,0.0001,128,64,64,rmsprop,0.5476209334559176,0.5422185430463576,0.54234873371741,0.5422185659408569
64,70,0.4,0.0001,128,128,32,adam,0.5194498876349462,0.5190397350993378,0.5192274572078477,0.5190397500991821
64,70,0.4,0.0001,128,128,32,rmsprop,0.5403431869023576,0.543046357615894,0.5406115577202639,0.5430463552474976
64,70,0.4,0.0001,128,128,64,adam,0.5343221167239026,0.5347682119205298,0.5345218076544331,0.5347682237625122
64,70,0.4,0.0001,128,128,64,rmsprop,0.5451017735353506,0.5463576158940397,0.5455147501505118,0.5463576316833496
64,70,0.4,0.0001,256,64,32,adam,0.537159836157914,0.5389072847682119,0.5376328047053024,0.5389072895050049
64,70,0.4,0.0001,256,64,32,rmsprop,0.5219206133529324,0.5273178807947019,0.5207820455119316,0.5273178815841675
64,70,0.4,0.0001,256,64,64,adam,0.5291741423248653,0.5322847682119205,0.5294631634421405,0.5322847962379456
64,70,0.4,0.0001,256,64,64,rmsprop,0.5436170479630745,0.5463576158940397,0.5438146190351462,0.5463576316833496
64,70,0.4,0.0001,256,128,32,adam,0.535911839976781,0.5397350993377483,0.5355725816080332,0.5397350788116455
64,70,0.4,0.0001,256,128,32,rmsprop,0.5368996875338777,0.5422185430463576,0.5342572247680712,0.5422185659408569
64,70,0.4,0.0001,256,128,64,adam,0.5358276063342889,0.5405629139072847,0.5344020922556565,0.5405629277229309
64,70,0.4,0.0001,256,128,64,rmsprop,0.5469805672620243,0.5496688741721855,0.5471444393341598,0.5496688485145569
64,70,0.4,0.0003,128,64,32,adam,0.5416147755547135,0.5413907284768212,0.5414968377361228,0.5413907170295715
64,70,0.4,0.0003,128,64,32,rmsprop,0.5163418204776851,0.5057947019867549,0.5016384707847771,0.5057947039604187
64,70,0.4,0.0003,128,64,64,adam,0.5437037767875661,0.5463576158940397,0.5439404594759142,0.5463576316833496
64,70,0.4,0.0003,128,64,64,rmsprop,0.5303133680093124,0.5264900662251656,0.5270133791917092,0.5264900922775269
64,70,0.4,0.0003,128,128,32,adam,0.5426121778744096,0.5422185430463576,0.5423972183062646,0.5422185659408569
64,70,0.4,0.0003,128,128,32,rmsprop,0.5330991926973224,0.5389072847682119,0.5299973137133409,0.5389072895050049
64,70,0.4,0.0003,128,128,64,adam,0.5281472212897121,0.5264900662251656,0.527036549952689,0.5264900922775269
64,70,0.4,0.0003,128,128,64,rmsprop,0.5230824549000938,0.5289735099337748,0.5212191468021643,0.5289735198020935
64,70,0.4,0.0003,256,64,32,adam,0.5255137887801733,0.5298013245033113,0.5252188758843417,0.5298013091087341
64,70,0.4,0.0003,256,64,32,rmsprop,0.5298145938635843,0.5314569536423841,0.5303093742602969,0.5314569473266602
64,70,0.4,0.0003,256,64,64,adam,0.5254902152015162,0.5256622516556292,0.5255730058096764,0.5256622433662415
64,70,0.4,0.0003,256,64,64,rmsprop,0.5179080193027392,0.5256622516556292,0.51372415130798,0.5256622433662415
64,70,0.4,0.0003,256,128,32,adam,0.5015352561026329,0.5182119205298014,0.4827317625788289,0.5182119011878967
64,70,0.4,0.0003,256,128,32,rmsprop,0.5323655193197768,0.5339403973509934,0.5328464795454226,0.5339403748512268
64,70,0.4,0.0003,256,128,64,adam,0.527123899174261,0.5314569536423841,0.5267219710352449,0.5314569473266602
64,70,0.4,0.0003,256,128,64,rmsprop,0.5265637315928662,0.5314569536423841,0.525650655115323,0.5314569473266602
64,70,0.4,0.0005,128,64,32,adam,0.5324702111004809,0.5339403973509934,0.5329396532035497,0.5339403748512268
64,70,0.4,0.0005,128,64,32,rmsprop,0.5475856219017752,0.5496688741721855,0.5479641672140112,0.5496688485145569
64,70,0.4,0.0005,128,64,64,adam,0.5299697038340823,0.5397350993377483,0.5048834500817124,0.5397350788116455
64,70,0.4,0.0005,128,64,64,rmsprop,0.5313417457514483,0.5322847682119205,0.5317082945161136,0.5322847962379456
64,70,0.4,0.0005,128,128,32,adam,0.5506464225037618,0.5538079470198676,0.5079028399210019,0.5538079738616943
64,70,0.4,0.0005,128,128,32,rmsprop,0.5267489983033434,0.5322847682119205,0.5250074342566319,0.5322847962379456
64,70,0.4,0.0005,128,128,64,adam,0.5332502511028934,0.5347682119205298,0.5337230711773039,0.5347682237625122
64,70,0.4,0.0005,128,128,64,rmsprop,0.5307347388144755,0.5355960264900662,0.5295596992112445,0.5355960130691528
64,70,0.4,0.0005,256,64,32,adam,0.5305950323501999,0.5322847682119205,0.531090803843937,0.5322847962379456
64,70,0.4,0.0005,256,64,32,rmsprop,0.5271557279821903,0.5289735099337748,0.527671572490695,0.5289735198020935
64,70,0.4,0.0005,256,64,64,adam,0.5740879502670487,0.5521523178807947,0.4503324168846838,0.5521523356437683
64,70,0.4,0.0005,256,64,64,rmsprop,0.5200010461767145,0.5182119205298014,0.5187877233035345,0.5182119011878967
64,70,0.4,0.0005,256,128,32,adam,0.5272184405600007,0.5314569536423841,0.5268906404058756,0.5314569473266602
64,70,0.4,0.0005,256,128,32,rmsprop,0.5209864574548845,0.5173841059602649,0.5179503036921315,0.5173841118812561
64,70,0.4,0.0005,256,128,64,adam,0.5211238416106605,0.5281456953642384,0.5176952497895139,0.5281456708908081
64,70,0.4,0.0005,256,128,64,rmsprop,0.5327967061693971,0.5380794701986755,0.5307890577965081,0.5380794405937195

