Contract ID,Timestamp,Balance,Current candle open,Previous candle open,Oldest candle open,MACD line,Signal_line,Status,Buy/Sell
00384627-0055-311e-0000-000082503ca7,17:42:57.410221,549.1,19335.4,19344.8,19382.8,-3.00,26.30,Take Profit,2
00384627-0055-311e-0000-000082504752,18:28:07.450864,-3.72,19174.6,19205.1,19279.1,-63.30,-44.80,Take Profit,2
00384627-0055-311e-0000-0000825050ba,19:08:16.312875,545.62,19403.4,19384.8,19247.1,-28.20,-57.70,Take Profit,1
00384627-0055-311e-0000-000082505d11,19:48:25.430048,-4.29,19563.8,19529.6,19456.6,98.70,30.50,Take Profit,1
00384627-0055-311e-0000-000082505eab,19:53:27.521526,545.62,19617.0,19563.8,19529.6,115.20,47.80,Take Profit,1
00384627-0055-311e-0000-000082506dcc,20:43:38.516994,-6.42,19478.0,19495.5,19521.6,81.50,119.00,Take Profit,2
00384627-0055-311e-0000-000082507328,20:58:42.655591,541.98,19387.4,19409.4,19492.6,18.30,95.10,Take Profit,2
00384627-0055-311e-0000-00008250f7f0,18:57:40.765791,535.16,19518.8,19599.8,19638.7,-2.30,0.00,Take Profit,2
00384627-0055-311e-0000-00008251347e,07:49:37.048555,538.11,19436.6,19412.8,19397.7,-15.30,-20.90,Take Profit,1
00384627-0055-311e-0000-000082513ce7,09:19:55.763578,-4.69,19385.1,19410.6,19429.8,0.70,9.50,Take Profit,2
00384627-0055-311e-0000-000082514271,10:20:08.408901,533.44,19510.8,19479.0,19440.7,11.70,-3.10,Take Profit,1
00384627-0055-311e-0000-000082514c9a,12:00:32.365164,-4.69,19540.1,19554.1,19581.7,31.90,49.40,Take Profit,2
00384627-0055-311e-0000-00008251521f,12:45:44.141901,538.62,19474.2,19491.5,19515.2,-27.00,5.50,Take Profit,2
00384627-0055-311e-0000-000082516c87,14:51:12.187109,-9.42,19431.2,19447.3,19492.2,9.70,14.40,Take Profit,2
00384627-0055-311e-0000-0000825170ce,15:01:15.647393,545.0,19321.1,19369.2,19431.2,-10.00,12.80,Take Profit,2
00384627-0055-311e-0000-000082517939,15:36:24.369518,-13.09,19412.2,19480.5,19513.2,-50.40,-23.60,Take Profit,2
00384627-0055-311e-0000-000082518966,16:36:38.436129,544.94,19267.3,19325.2,19336.1,-39.80,-30.90,Take Profit,2
00384627-0055-311e-0000-000082518e6a,16:56:44.220057,-19.11,19259.7,19289.0,19299.0,-48.30,-35.70,Take Profit,2
00384627-0055-311e-0000-000082519696,17:36:54.761077,541.42,19327.0,19305.0,19256.5,-46.20,-57.80,Take Profit,1
00384627-0055-311e-0000-00008251acc1,19:27:20.200386,-23.03,19288.6,19259.6,19243.8,-19.50,-43.20,Take Profit,1
00384627-0055-311e-0000-00008251ad7d,19:32:22.559499,541.42,19298.3,19288.6,19259.6,-9.00,-38.50,Take Profit,1
00384627-0055-311e-0000-00008251c643,23:26:05.731602,518.08,19296.5,19294.5,19292.9,-1.10,-3.20,Take Profit (20 minutes),1
00384627-0055-311e-0000-00008251c688,23:29:14.928775,1.2,19300.7,19301.2,19299.5,2.00,-2.60,Take Profit (20 minutes),1
00384627-0055-311e-0000-00008251c6b3,23:30:44.383211,519.07,19308.9,19305.5,19302.9,6.70,-1.40,Take Profit (20 minutes),1
00384627-0055-311e-0000-00008251c70f,23:35:11.161232,3.8,19321.7,19317.2,19320.0,2.80,-0.60,Take Profit (20 minutes),1
00384627-0055-311e-0000-00008251c70f,23:35:23.237768,519.07,19317.6,19321.7,19317.2,3.70,0.30,Take Profit (20 minutes),1
00384627-0055-311e-0000-00008251c70f,23:35:46.128557,3.8,19320.0,19317.6,19317.6,5.40,1.30,Take Profit (20 minutes),1
No open positions at this moment.,21:05:43.088646,526.45,19637.2,19660.9,19693.5,12.80,17.90,Take Profit,Buy
00384627-0055-311e-0000-00008252c84a,17:21:15.194677,527.02,19669.2,19695.4,19714.5,-18.90,0.00,Take Profit,2
00384627-0055-311e-0000-00008252ceba,17:56:24.654953,-0.88,19685.7,19663.3,19644.4,3.50,0.00,Take Profit,1
00384627-0055-311e-0000-00008252d7fc,18:36:34.764182,527.02,19771.0,19730.5,19733.9,18.30,6.10,Take Profit,1
00384627-0055-311e-0000-00008252e230,19:26:47.134392,17.77,19891.5,19863.8,19850.8,76.00,50.20,Take Profit (20 minutes),1
00384627-0055-311e-0000-00008252f028,20:57:09.481624,531.85,19821.8,19869.7,19883.2,6.10,38.70,Take Profit,1
00384627-0055-311e-0000-00008252f0e3,21:02:11.935910,17.77,19789.5,19821.8,19869.7,-2.80,30.90,Take Profit,2
00384627-0055-311e-0000-000082532268,13:58:16.091409,548.73,19677.1,19706.2,19720.0,-12.80,-8.40,Take Profit,2
00384627-0055-311e-0000-000082532b56,14:38:27.283143,-1.74,19553.7,19657.5,19664.5,-30.90,-16.30,Take Profit,2
00384627-0055-311e-0000-000082532f67,14:48:31.084894,563.82,19480.5,19569.8,19553.7,-50.40,-21.00,Take Profit,2
00384627-0055-311e-0000-0000825335cb,15:03:35.822535,-7.05,19436.3,19442.7,19475.3,-75.10,-34.40,Take Profit,2
00384627-0055-311e-0000-000082533e69,15:48:46.998547,563.82,19436.7,19487.1,19472.0,-98.50,-103.70,Take Profit,2
00384627-0055-311e-0000-0000825343d5,16:03:51.904904,-12.71,19388.0,19444.7,19449.5,-73.00,-101.10,Take Profit,2
00384627-0055-311e-0000-000082534778,16:13:55.728943,560.38,19434.7,19410.3,19388.0,-59.10,-96.30,Take Profit,2
00384627-0055-311e-0000-000082535f33,17:44:16.518429,-12.71,19459.7,19501.2,19504.3,15.80,5.80,Take Profit,1
00384627-0055-311e-0000-000082535ff8,17:49:18.900802,559.41,19451.8,19459.7,19501.2,18.40,8.60,Take Profit,1
00384627-0055-311e-0000-000082536289,18:04:24.018573,-7.82,19510.1,19519.1,19451.2,26.40,11.80,Take Profit,1
00384627-0055-311e-0000-000082536289,18:09:26.453830,559.41,19469.8,19510.1,19519.1,25.10,14.50,Take Profit,1
00384627-0055-311e-0000-00008253660b,18:19:30.238936,-7.39,19464.7,19516.2,19469.8,19.10,16.10,Take Profit,1
00384627-0055-311e-0000-000082536a5a,18:39:36.180307,564.4,19504.2,19469.5,19461.8,5.40,15.90,Take Profit,1
00384627-0055-311e-0000-000082536f01,19:04:43.084331,-7.39,19444.3,19485.6,19508.7,1.80,8.70,Take Profit,1
00384627-0055-311e-0000-000082537203,19:24:49.088799,559.69,19486.6,19456.5,19435.3,-6.20,2.30,Take Profit,2
00384627-0055-311e-0000-00008253762a,19:49:55.846214,-7.8,19525.0,19483.0,19499.0,-0.90,-3.60,Take Profit,2
00384627-0055-311e-0000-00008253762a,19:54:58.239318,554.29,19526.3,19525.0,19483.0,-0.30,-3.90,Take Profit,2
00384627-0055-311e-0000-000082538889,21:00:13.810166,-8.1,19489.9,19471.6,19439.6,-0.20,8.60,Take Profit (20 minutes),2
00384627-0055-311e-0000-00008253a687,08:44:13.508245,548.71,19435.3,19467.6,19493.7,-13.30,-7.90,Take Profit,2
00384627-0055-311e-0000-00008253c0bb,14:30:32.676044,-2.77,19572.2,19527.9,19529.1,-3.80,-5.30,Take Profit,2
00384627-0055-311e-0000-00008253c810,14:50:38.589423,547.96,19561.2,19518.4,19552.4,-0.10,-4.60,Take Profit,2
00384627-0055-311e-0000-00008253c990,14:55:41.132094,-2.77,19608.2,19561.2,19518.4,4.40,-3.50,Take Profit,1
00384627-0055-311e-0000-00008253d25d,15:30:50.596467,551.85,19621.6,19640.3,19660.9,37.70,14.50,Take Profit,1
00384627-0055-311e-0000-00008253d9dc,16:11:00.829625,-2.77,19633.7,19596.9,19577.4,25.30,39.30,Take Profit,1
00384627-0055-311e-0000-00008253edad,18:11:28.548667,550.77,19614.4,19624.2,19656.6,-7.30,16.50,Take Profit,2
00384627-0055-311e-0000-00008253ee53,18:16:31.007121,-4.46,19578.1,19614.4,19624.2,-12.20,11.60,Take Profit,2
00384627-0055-311e-0000-00008253f1ee,18:41:37.875253,546.01,19615.2,19600.7,19572.3,-31.50,-15.70,Take Profit,2
00384627-0055-311e-0000-00008253f6d2,19:01:43.742084,-2.84,19635.3,19592.1,19593.9,-34.60,-27.50,Take Profit,2
00384627-0055-311e-0000-00008253f989,19:11:47.512780,541.07,19676.7,19601.2,19635.3,-24.70,-28.80,Take Profit,2
00384627-0055-311e-0000-00008253feec,19:31:53.675540,-0.12,19706.3,19666.0,19669.4,6.40,-24.10,Take Profit,1
00384627-0055-311e-0000-00008254003a,19:36:56.060022,541.07,19713.2,19706.3,19666.0,13.10,-19.60,Take Profit,1
00384627-0055-311e-0000-0000825406f3,19:57:02.124193,1.12,19794.3,19745.3,19737.5,51.50,4.90,Take Profit,1
00384627-0055-311e-0000-000082540c0e,20:12:07.037371,554.94,19882.7,19865.0,19820.9,81.20,18.00,Take Profit,1
00384627-0055-311e-0000-000082540e3e,20:22:10.673162,-4.03,19819.2,19867.5,19882.7,88.20,31.60,Take Profit,1
00384627-0055-311e-0000-000082541012,20:27:13.273731,554.94,19765.2,19819.2,19867.5,89.20,44.30,Take Profit,1
00384627-0055-311e-0000-0000825413ef,20:42:18.076448,-10.22,19815.0,19775.9,19761.0,84.60,62.90,Take Profit,1
00384627-0055-311e-0000-000082541631,20:52:22.062062,551.62,19760.2,19804.0,19815.0,74.40,69.70,Take Profit,1
00384627-0055-311e-0000-00008254176e,20:57:24.429794,-10.22,19732.4,19760.2,19804.0,62.50,73.30,Take Profit (20 minutes),1
00384627-0055-311e-0000-000082543f76,10:33:15.410926,544.29,19773.7,19797.2,19817.0,-8.90,-0.30,Take Profit,2
00384627-0055-311e-0000-0000825445e2,11:13:27.372392,3.7,19637.7,19689.3,19710.3,-51.80,-16.10,Take Profit,2
00384627-0055-311e-0000-0000825448c6,11:23:32.013252,552.15,19542.0,19585.3,19637.7,-72.30,-24.40,Take Profit,2
00384627-0055-311e-0000-00008254497c,11:28:34.237383,3.7,19557.7,19542.0,19585.3,-80.10,-33.50,Take Profit,2
00384627-0055-311e-0000-000082544bcf,11:53:40.827292,549.11,19587.7,19569.5,19543.0,-102.60,-80.70,Take Profit,2
00384627-0055-311e-0000-000082545750,14:04:10.591570,4.76,19582.0,19613.4,19622.0,0.00,12.60,Take Profit,2
00384627-0055-311e-0000-000082545cdb,14:34:18.360393,544.57,19647.3,19570.3,19582.2,-10.20,-2.20,Take Profit,2
00384627-0055-311e-0000-000082546142,14:54:23.845323,1.8,19702.0,19690.3,19652.0,-0.60,-6.10,Take Profit,2
00384627-0055-311e-0000-000082546472,15:04:27.480725,544.57,19799.7,19705.7,19702.0,18.50,-2.60,Take Profit,1
00384627-0055-311e-0000-0000825468ea,15:24:33.106341,-6.07,19853.2,19810.8,19779.0,64.70,17.60,Take Profit,1
00384627-0055-311e-0000-0000825468ea,15:29:35.563519,544.57,19835.2,19853.2,19810.8,77.50,27.30,Take Profit,1
00384627-0055-311e-0000-000082546e19,15:44:40.333319,-7.0,19875.4,19853.5,19823.5,98.50,39.10,Take Profit,1
00384627-0055-311e-0000-0000825471d2,15:59:44.751199,540.78,19821.9,19849.2,19873.9,105.00,63.30,Take Profit,1
00384627-0055-311e-0000-0000825471d2,16:04:46.995356,-7.0,19807.0,19821.9,19849.2,99.70,73.50,Take Profit,1
00384627-0055-311e-0000-000082547926,16:34:55.080038,538.99,19777.1,19818.5,19823.1,44.20,81.80,Take Profit,1
00384627-0055-311e-0000-000082547926,16:39:57.635347,-7.0,19783.9,19777.1,19818.5,30.90,76.60,Take Profit,1
00384627-0055-311e-0000-000082547e64,17:00:03.338309,544.23,19765.1,19826.0,19829.9,-3.00,53.70,Take Profit,2
00384627-0055-311e-0000-000082547f08,17:05:05.689807,-7.0,19789.6,19765.1,19826.0,-10.10,40.90,Take Profit,2
00384627-0055-311e-0000-00008254838b,17:30:12.295102,552.6,19669.5,19714.9,19741.7,-37.80,-6.00,Take Profit,2
00384627-0055-311e-0000-00008254894c,18:10:22.064619,-11.06,19721.6,19693.6,19668.4,-59.30,-50.60,Take Profit,2
00384627-0055-311e-0000-000082549674,19:30:40.744661,565.25,19589.7,19634.9,19649.0,-15.70,-24.30,Take Profit,2
00384627-0055-311e-0000-000082549a20,19:50:46.329910,-16.59,19642.6,19602.5,19619.6,-17.30,-19.60,Take Profit,2
00384627-0055-311e-0000-000082549b7f,19:55:48.832672,565.25,19666.5,19642.6,19602.5,-15.50,-18.50,Take Profit,2
00384627-0055-311e-0000-00008254c496,09:23:49.303209,553.42,19591.0,19632.1,19650.1,-16.20,-5.20,OPEN,2
00384627-0055-311e-0000-00008254da9d,13:38:16.461582,549.04,19540.7,19576.5,19591.1,-3.00,2.10,Take Profit,2
00384627-0055-311e-0000-00008254dbba,13:43:19.715426,0.0,19506.2,19540.7,19576.5,-9.10,1.00,Take Profit,2
00384627-0055-311e-0000-00008254e9ff,14:43:34.295083,548.01,19485.3,19435.2,19456.7,-66.90,-56.60,Take Profit,2
00384627-0055-311e-0000-00008254ee19,14:58:39.169889,3.27,19542.3,19485.1,19512.3,-49.80,-60.40,Take Profit,2
00384627-0055-311e-0000-00008254eeeb,15:03:41.582328,548.01,19500.1,19542.3,19485.1,-42.50,-59.90,Take Profit,2
00384627-0055-311e-0000-00008254f3a0,15:23:47.653705,0.82,19548.8,19528.1,19495.7,-6.60,-45.50,Take Profit,2
00384627-0055-311e-0000-00008254fac1,15:58:56.502174,548.01,19581.9,19527.3,19545.3,32.40,14.10,Take Profit,1
00384627-0055-311e-0000-00008254fd8c,16:14:01.137425,-4.76,19557.7,19585.2,19599.4,39.30,25.60,Take Profit,1
00384627-0055-311e-0000-00008254fee0,16:19:03.630217,547.29,19540.4,19557.7,19585.2,36.90,29.40,Take Profit,1
00384627-0055-311e-0000-000082550286,16:44:10.956351,-7.95,19484.8,19521.0,19525.5,15.20,29.60,Take Profit,1
00384627-0055-311e-0000-0000825507a4,17:14:18.801185,547.03,19593.2,19547.3,19521.2,-7.30,7.70,Take Profit,2
00384627-0055-311e-0000-000082550897,17:19:21.305259,-10.43,19640.3,19593.2,19547.3,-3.60,3.20,Take Profit,2
00384627-0055-311e-0000-0000825511d6,18:19:36.145454,541.7,19629.3,19642.9,19671.9,61.70,47.80,Take Profit,1
00384627-0055-311e-0000-0000825514dc,18:44:43.226982,-15.04,19667.0,19649.3,19624.5,38.00,52.70,Take Profit,1
00384627-0055-311e-0000-0000825525e5,20:50:12.613418,539.45,19677.2,19650.7,19637.8,-9.60,-5.40,Take Profit,2
00384627-0055-311e-0000-000082552867,21:00:16.415973,-17.98,19745.7,19731.3,19677.2,0.40,-5.20,Take Profit (20 minutes),1
